CCSR Diagnosis Code  CCSR Procedure Code
                     GNR005                     2
                     HEP010                     2
                     LYM006                     2
                     MAM005                     2
                     MST006                     2
                     MST007                     2
                     MST020                     2
                     MST030                     2
                     RES003                     2
                     RES004                     2
                     RHB002                     2
                     SUD001                     2
                     ADM006                     1
                     CAR002                     1
                     CAR004                     1
                     CAR021                     1
                     CAR022                     1
                     CAR026                     1
                     CNS006                     1
                     ENT003                     1
                     ENT008                     1
                     ESA005                     1
                     ESA006                     1
                     FRS001                     1
                     GIS027                     1
                     HEP003                     1
                     IMG004                     1
                     MAM001                     1
                     MST003                     1
                     MST011                     1
                     MST012                     1
                     MST024                     1
                     MST029                     1
                     OST001                     1
                     OTR001                     1
                     PGN001                     1
                     PGN009                     1
                     RES010                     1
                     SKB009                     1
                     URN009                     1
BLD007               ADM001                   292
                     ADM015                   197
                     OTR004                    99
                     LYM007                    69
                     ADM012                    60
                     ADM021                    51
                     SKB001                    29
                     CAR024                    28
                     ADM017                    25
                     ADM019                    19
                     CNS002                    15
                     IMG006                    12
                     IMG008                    11
                     RES001                    11
                     ADM018                     8
                     ESA004                     8
                     EST001                     8
                     IMG007                     8
                     ADM005                     7
                     CAR025                     7
                     ESA001                     6
                     GIS004                     6
                     GIS006                     6
                     RAD001                     6
                     ADM016                     5
                     ENT001                     5
                     ESA003                     5
                     GIS001                     5
                     MST002                     5
                     URN006                     5
                     HEP001                     4
                     LYM001                     4
                     MST001                     4
                     RES005                     4
                     ADM003                     3
                     ADM006                     3
                     ADM007                     3
                     CAR001                     3
                     GIS017                     3
                     MAM011                     3
                     MST003                     3
                     ADM011                     2
                     ADM014                     2
                     CAR029                     2
                     CNS014                     2
                     ENT002                     2
                     GIS002                     2
                     GIS025                     2
                     GNR004                     2
                     IMG009                     2
                     LYM005                     2
                     SUD002                     2
                     CAR010                     1
                     CAR021                     1
                     CAR028                     1
                     CNS004                     1
                     CNS006                     1
                     CNS007                     1
                     ENT003                     1
                     ENT015                     1
                     ENT017                     1
                     ESA005                     1
                     EYP001                     1
                     FRS015                     1
                     GIS013                     1
                     GNR006                     1
                     GNR008                     1
                     HEP008                     1
                     HEP011                     1
                     IMG002                     1
                     IMG004                     1
                     IMG005                     1
                     LYM008                     1
                     MAM002                     1
                     MAM005                     1
                     MAM006                     1
                     MAM007                     1
                     MAM013                     1
                     MST005                     1
                     MST017                     1
                     MST018                     1
                     MST020                     1
                     NCM004                     1
                     PNS006                     1
                     RAD003                     1
                     RAD004                     1
                     RES004                     1
                     RES007                     1
                     SKB006                     1
                     SUD001                     1
                     URN002                     1
                     URN005                     1
                     URN008                     1
BLD008               ADM021                    35
                     ESA004                    24
                     LYM001                    21
                     ADM003                    16
                     CNS002                    15
                     RES001                    15
                     IMG008                    14
                     ADM015                    10
                     CAR024                    10
                     MAM005                    10
                     ADM017                     9
                     OTR004                     7
                     RES002                     7
                     ADM016                     6
                     ENT001                     6
                     RES013                     6
                     CAR026                     4
                     ESA001                     4
                     MAM011                     4
                     ADM001                     3
                     ADM011                     3
                     ADM014                     3
                     ESA003                     3
                     HEP001                     3
                     MAM007                     3
                     RES005                     3
                     RES008                     3
                     SKB001                     3
                     ADM012                     2
                     ADM022                     2
                     CAR025                     2
                     CNS001                     2
                     ENT003                     2
                     GIS001                     2
                     RHB002                     2
                     ADM002                     1
                     ADM010                     1
                     CAR018                     1
                     CAR022                     1
                     CAR029                     1
                     CNS007                     1
                     ESA002                     1
                     EST001                     1
                     EYP001                     1
                     FRS010                     1
                     GIS002                     1
                     GIS006                     1
                     GIS017                     1
                     GIS022                     1
                     HEP005                     1
                     HEP006                     1
                     IMG006                     1
                     LYM007                     1
                     MAM004                     1
                     MAM006                     1
                     MAM008                     1
                     MAM010                     1
                     MST001                     1
                     MST002                     1
                     MST024                     1
                     MST028                     1
                     NCM004                     1
                     PNS006                     1
                     RES004                     1
                     RES007                     1
                     RES010                     1
                     RES012                     1
                     SKB006                     1
                     SUD002                     1
                     URN002                     1
                     URN011                     1
BLD009               LYM005                     3
                     ADM001                     2
                     CAR010                     2
                     IMG002                     2
                     LYM006                     2
                     CAR024                     1
                     MAM005                     1
                     RES005                     1
                     SKB010                     1
BLD010               LYM005                    41
                     LYM006                    21
                     ADM021                    19
                     ADM001                    12
                     CAR010                    12
                     IMG008                    12
                     CAR024                    10
                     OTR004                     8
                     GIS006                     7
                     ESA004                     6
                     GIS004                     6
                     IMG006                     6
                     ESA001                     5
                     ADM015                     4
                     ADM019                     4
                     GIS001                     4
                     LYM007                     4
                     ADM017                     3
                     CAR011                     3
                     ESA003                     3
                     ADM002                     2
                     ADM014                     2
                     CAR021                     2
                     ESA006                     2
                     GIS024                     2
                     IMG002                     2
                     MST028                     2
                     RES005                     2
                     ADM004                     1
                     ADM006                     1
                     ADM007                     1
                     ADM011                     1
                     EST001                     1
                     GIS007                     1
                     GIS008                     1
                     GIS015                     1
                     GIS016                     1
                     GIS025                     1
                     GNR005                     1
                     HEP001                     1
                     IMG007                     1
                     LYM001                     1
                     MAM005                     1
                     MAM006                     1
                     MST020                     1
                     RES003                     1
                     RES010                     1
CIR001               CAR022                   669
                     CAR023                   529
                     MAM005                   149
                     IMG008                    55
                     ADM021                    27
                     IMG001                    26
                     CAR004                    15
                     CAR024                    13
                     ESA001                    13
                     ADM001                    12
                     CAR003                    12
                     OTR004                    10
                     RES005                    10
                     ESA004                     9
                     CAR009                     8
                     CAR012                     8
                     CAR026                     8
                     ADM015                     7
                     CAR019                     7
                     ADM017                     6
                     ESA003                     5
